Datetime,StockSymbol,open,high,low,close
28/07/2000 2:00,VNINDEX,100,100,100,100
31/07/2000 2:00,VNINDEX,101.5500031,101.5500031,101.5500031,101.5500031
02/08/2000 2:00,VNINDEX,103.3799973,103.3799973,103.3799973,103.3799973
04/08/2000 2:00,VNINDEX,105.199997,105.199997,105.199997,105.199997
07/08/2000 2:00,VNINDEX,106.9199982,106.9199982,106.9199982,106.9199982
09/08/2000 2:00,VNINDEX,108.6399994,108.6399994,108.6399994,108.6399994
11/08/2000 2:00,VNINDEX,110.3600006,110.3600006,110.3600006,110.3600006
14/08/2000 2:00,VNINDEX,112.0800018,112.0800018,112.0800018,112.0800018
16/08/2000 2:00,VNINDEX,113.8000031,113.8000031,113.8000031,113.8000031
18/08/2000 2:00,VNINDEX,115.5199966,115.5199966,115.5199966,115.5199966
21/08/2000 2:00,VNINDEX,117.2399979,117.2399979,117.2399979,117.2399979
23/08/2000 2:00,VNINDEX,118.9599991,118.9599991,118.9599991,118.9599991
25/08/2000 2:00,VNINDEX,118.8399963,118.8399963,118.8399963,118.8399963
28/08/2000 2:00,VNINDEX,117,117,117,117
30/08/2000 2:00,VNINDEX,115.1500015,115.1500015,115.1500015,115.1500015
01/09/2000 2:00,VNINDEX,113.3700028,113.3700028,113.3700028,113.3700028
06/09/2000 2:00,VNINDEX,112.5100021,112.5100021,112.5100021,112.5100021
08/09/2000 2:00,VNINDEX,112.3899994,112.3899994,112.3899994,112.3899994
11/09/2000 2:00,VNINDEX,114.1100006,114.1100006,114.1100006,114.1100006
13/09/2000 2:00,VNINDEX,116.0800018,116.0800018,116.0800018,116.0800018
15/09/2000 2:00,VNINDEX,118.0400009,118.0400009,118.0400009,118.0400009
18/09/2000 2:00,VNINDEX,118.1900024,118.1900024,118.1900024,118.1900024
20/09/2000 2:00,VNINDEX,118.2099991,118.2099991,118.2099991,118.2099991
22/09/2000 2:00,VNINDEX,118.7600021,118.7600021,118.7600021,118.7600021
25/09/2000 2:00,VNINDEX,118.9800034,118.9800034,118.9800034,118.9800034
27/09/2000 2:00,VNINDEX,119.6900024,119.6900024,119.6900024,119.6900024
29/09/2000 2:00,VNINDEX,120.7099991,120.7099991,120.7099991,120.7099991
02/10/2000 2:00,VNINDEX,120.9199982,120.9199982,120.9199982,120.9199982
04/10/2000 2:00,VNINDEX,121.1399994,121.1399994,121.1399994,121.1399994
06/10/2000 2:00,VNINDEX,122.2099991,122.2099991,122.2099991,122.2099991
09/10/2000 2:00,VNINDEX,124.3300018,124.3300018,124.3300018,124.3300018
11/10/2000 2:00,VNINDEX,126.449997,126.449997,126.449997,126.449997
13/10/2000 2:00,VNINDEX,128.5700073,128.5700073,128.5700073,128.5700073
16/10/2000 2:00,VNINDEX,130.7100067,130.7100067,130.7100067,130.7100067
18/10/2000 2:00,VNINDEX,132.8500061,132.8500061,132.8500061,132.8500061
20/10/2000 2:00,VNINDEX,135.0399933,135.0399933,135.0399933,135.0399933
23/10/2000 2:00,VNINDEX,136.5500031,136.5500031,136.5500031,136.5500031
25/10/2000 2:00,VNINDEX,137.0800018,137.0800018,137.0800018,137.0800018
27/10/2000 2:00,VNINDEX,139.5700073,139.5700073,139.5700073,139.5700073
30/10/2000 2:00,VNINDEX,140.8399963,140.8399963,140.8399963,140.8399963
01/11/2000 2:00,VNINDEX,143.3300018,143.3300018,143.3300018,143.3300018
03/11/2000 2:00,VNINDEX,145.8300018,145.8300018,145.8300018,145.8300018
06/11/2000 2:00,VNINDEX,148.5700073,148.5700073,148.5700073,148.5700073
08/11/2000 2:00,VNINDEX,151.3200073,151.3200073,151.3200073,151.3200073
10/11/2000 2:00,VNINDEX,154.0800018,154.0800018,154.0800018,154.0800018
13/11/2000 2:00,VNINDEX,156.8399963,156.8399963,156.8399963,156.8399963
15/11/2000 2:00,VNINDEX,159.6000061,159.6000061,159.6000061,159.6000061
17/11/2000 2:00,VNINDEX,162.3600006,162.3600006,162.3600006,162.3600006
20/11/2000 2:00,VNINDEX,165.699997,165.699997,165.699997,165.699997
22/11/2000 2:00,VNINDEX,165.5200043,165.5200043,165.5200043,165.5200043
24/11/2000 2:00,VNINDEX,166.1699982,166.1699982,166.1699982,166.1699982
27/11/2000 2:00,VNINDEX,165.6000061,165.6000061,165.6000061,165.6000061
29/11/2000 2:00,VNINDEX,168.7299957,168.7299957,168.7299957,168.7299957
01/12/2000 2:00,VNINDEX,171.8699951,171.8699951,171.8699951,171.8699951
04/12/2000 2:00,VNINDEX,175,175,175,175
06/12/2000 2:00,VNINDEX,178.1300049,178.1300049,178.1300049,178.1300049
08/12/2000 2:00,VNINDEX,181.2599945,181.2599945,181.2599945,181.2599945
