Datetime,StockSymbol,open,high,low,close,volume
21/11/2006 2:00,ACB,8000.392213,10000.49027,7933.722279,9000.441237,847458.4237
22/11/2006 2:00,ACB,9547.134705,9547.134705,8667.091561,9000.441237,934454.1704
23/11/2006 2:00,ACB,9667.140591,9667.140591,8667.091561,9533.800717,1048447.528
24/11/2006 2:00,ACB,9333.790914,10133.83014,9333.790914,10000.49027,953952.7895
27/11/2006 2:00,ACB,9787.146471,10760.52753,9000.441237,9467.130783,635967.8375
28/11/2006 2:00,ACB,10000.49027,10000.49027,9333.790914,9467.130783,296984.0547
29/11/2006 2:00,ACB,9333.790914,9467.130783,8867.101369,8867.101369,463476.556
30/11/2006 2:00,ACB,8800.431435,9000.441237,8600.421626,8867.101369,992950.0277
01/12/2006 2:00,ACB,8867.101369,8867.101369,8667.091561,8667.091561,889456.0854
04/12/2006 2:00,ACB,8733.761501,8733.761501,8333.74189,8400.411824,1342433.226
05/12/2006 2:00,ACB,8400.411824,8400.411824,8000.392213,8200.402015,1670917.593
06/12/2006 2:00,ACB,8000.392213,8400.411824,8000.392213,8400.411824,1226939.656
07/12/2006 2:00,ACB,8333.74189,8967.106273,8333.74189,8967.106273,362980.9706
08/12/2006 2:00,ACB,9667.140591,9667.140591,9067.111172,9400.460848,727464.2192
11/12/2006 2:00,ACB,10267.17,10267.17,9400.460848,9400.460848,1013948.859
12/12/2006 2:00,ACB,10333.83994,10533.84975,9000.441237,9133.781106,434976.6667
13/12/2006 2:00,ACB,9333.790914,9533.800717,9067.111172,9333.790914,1057446.732
14/12/2006 2:00,ACB,9333.790914,9527.133729,9267.12098,9340.457908,683966.3459
15/12/2006 2:00,ACB,9467.130783,9667.140591,9367.125884,9533.800717,851956.9924
18/12/2006 2:00,ACB,9600.470657,9733.810525,9527.133729,9600.470657,1055946.52
19/12/2006 2:00,ACB,9667.140591,9667.140591,9533.800717,9580.469675,560971.718
20/12/2006 2:00,ACB,9600.470657,9667.140591,9587.136669,9633.805621,860956.1961
21/12/2006 2:00,ACB,9600.470657,9667.140591,9400.460848,9600.470657,668966.2954
22/12/2006 2:00,ACB,9333.790914,9333.790914,9000.441237,9300.455944,614969.0067
25/12/2006 2:00,ACB,9213.785028,9467.130783,9000.441237,9333.790914,725964.0075
26/12/2006 2:00,ACB,9400.460848,9667.140591,9333.790914,9667.140591,509974.8526
27/12/2006 2:00,ACB,9667.140591,9880.484382,9667.140591,9820.481441,958451.3581
28/12/2006 2:00,ACB,9800.480459,10333.83994,9800.480459,10000.49027,1439928.388
29/12/2006 2:00,ACB,10200.50007,10200.50007,9933.820328,10000.49027,1210439.394
02/01/2007 2:00,ACB,10000.49027,10000.49027,9800.480459,9867.150393,1204440.614
03/01/2007 2:00,ACB,10000.49027,10067.1602,9900.485364,9967.155298,640468.4726
04/01/2007 2:00,ACB,10267.17,10333.83994,10000.49027,10333.83994,1196939.556
05/01/2007 2:00,ACB,10400.50987,10667.18962,10333.83994,10500.51478,1208939.183
08/01/2007 2:00,ACB,10467.17981,10667.18962,10133.83014,10433.84484,796459.492
09/01/2007 2:00,ACB,10467.17981,10533.84975,10267.17,10400.50987,733462.9995
10/01/2007 2:00,ACB,10467.17981,10667.18962,10467.17981,10600.51968,1015449.07
11/01/2007 2:00,ACB,10667.18962,10667.18962,10400.50987,10667.18962,1316933.76
12/01/2007 2:00,ACB,11000.53929,11000.53929,10533.84975,10800.52948,979450.1889
15/01/2007 2:00,ACB,10667.18962,10867.19942,10667.18962,10867.19942,676465.2875
16/01/2007 2:00,ACB,10867.19942,11000.53929,10800.52948,10967.20432,1511924.084
17/01/2007 2:00,ACB,11133.87916,11467.22884,10733.85955,10867.19942,2542375.271
